t1,st2,local_name,percent,numpeo,cx,cy
運動體育類,關注體育：網球者,北投區泉源里,0.386049501768,1201.0,121.520807335,25.1531582834
美食戶外旅遊類,關注素食料理者,北投區泉源里,0.0283956460009,60.0,121.520807335,25.1531582834
美食戶外旅遊類,關注日本料理者,北投區泉源里,0.364513018322,1134.0,121.520807335,25.1531582834
美食戶外旅遊類,關注美式料理者,北投區泉源里,0.19768563163,615.0,121.520807335,25.1531582834
運動體育類,關注體育：格鬥與摔角者,北投區泉源里,0.0703953712633,219.0,121.520807335,25.1531582834
運動體育類,關注體育：籃球者,北投區泉源里,0.495339119254,1541.0,121.520807335,25.1531582834
運動體育類,關注體育：跑步者,北投區泉源里,0.061050638902,129.0,121.520807335,25.1531582834
美食戶外旅遊類,關注旅遊資訊者,北投區泉源里,0.196078431373,610.0,121.520807335,25.1531582834
寵物生活類,關注貓寵物者,北投區泉源里,0.106075216972,330.0,121.520807335,25.1531582834
學習教育類,關注教育學習者,北投區泉源里,0.495199301717,1702.0,121.520807335,25.1531582834
影視娛樂類,關注韓國潮流哈韓者,北投區泉源里,0.436837029894,1359.0,121.520807335,25.1531582834
美食戶外旅遊類,關注速食者,北投區泉源里,0.166827386692,519.0,121.520807335,25.1531582834
影視娛樂類,關注搖滾樂者,北投區泉源里,0.0872072072072,242.0,121.520807335,25.1531582834
運動體育類,關注體育：賽車者,北投區泉源里,0.0605405405405,168.0,121.520807335,25.1531582834
美食戶外旅遊類,關注烹飪者,北投區泉源里,0.450016072003,1400.0,121.520807335,25.1531582834
身體保健類,關注健康保健者,北投區泉源里,0.490838958534,1527.0,121.520807335,25.1531582834
美食戶外旅遊類,關注戶外休閒者,北投區泉源里,0.443265830923,1379.0,121.520807335,25.1531582834
運動體育類,關注體育：足球者,北投區泉源里,0.439087110254,1366.0,121.520807335,25.1531582834
身體保健類,關注口腔牙齒治療者,北投區泉源里,0.464480874317,1445.0,121.520807335,25.1531582834
運動體育類,關注體育：自行車者,北投區泉源里,0.0240226095148,51.0,121.520807335,25.1531582834
寵物生活類,關注狗寵物者,北投區泉源里,0.387978142077,1207.0,121.520807335,25.1531582834
影視娛樂類,音樂:韓國音樂,北投區泉源里,0.18868531019,587.0,121.520807335,25.1531582834
影視娛樂類,關注影視娛樂訊息者,北投區泉源里,0.434908389585,1353.0,121.520807335,25.1531582834
美食戶外旅遊類,關注台式料理者,北投區泉源里,0.0861759425494,240.0,121.520807335,25.1531582834
運動體育類,關注體育：游泳者,北投區泉源里,0.0430667297681,91.0,121.520807335,25.1531582834
影視娛樂類,關注日本電視節目者,北投區泉源里,0.360977177756,1123.0,121.520807335,25.1531582834
運動體育類,關注體育：水上運動者,北投區泉源里,0.118611378978,369.0,121.520807335,25.1531582834
運動體育類,關注體育：高爾夫球者,北投區泉源里,0.0195858981533,35.0,121.520807335,25.1531582834
影視娛樂類,關注日本潮流哈日者,北投區泉源里,0.473481195757,1473.0,121.520807335,25.1531582834
影視娛樂類,關注韓國電視節目者,北投區泉源里,0.495017679203,1540.0,121.520807335,25.1531582834
影視娛樂類,關注日本音樂者,北投區泉源里,0.359691417551,1119.0,121.520807335,25.1531582834
運動體育類,關注體育：棒球者,北投區泉源里,0.515589842494,1604.0,121.520807335,25.1531582834
身體保健類,關注口腔牙齒美容者,北投區泉源里,0.0612612612613,170.0,121.520807335,25.1531582834
寵物生活類,關注水族寵物者,北投區泉源里,0.338797814208,1054.0,121.520807335,25.1531582834
影視娛樂類,關注歐美電視節目者,北投區永明里,0.36619491798,2277.0,121.515221277,25.1176297872
美食戶外旅遊類,關注素食料理者,北投區永明里,0.0332741792369,150.0,121.515221277,25.1176297872
運動體育類,關注體育：網球者,北投區永明里,0.344483756835,2142.0,121.515221277,25.1176297872
影視娛樂類,關注電影者,北投區永明里,0.410099710518,2550.0,121.515221277,25.1176297872
影視娛樂類,關注日本潮流哈日者,北投區永明里,0.419105821808,2606.0,121.515221277,25.1176297872
影視娛樂類,關注韓國電視節目者,北投區永明里,0.446445802509,2776.0,121.515221277,25.1176297872
影視娛樂類,音樂:韓國音樂,北投區永明里,0.189289160502,1177.0,121.515221277,25.1176297872
運動體育類,關注體育：自行車者,北投區永明里,0.0305967312809,161.0,121.515221277,25.1176297872
美食戶外旅遊類,關注日本料理者,北投區永明里,0.32824059183,2041.0,121.515221277,25.1176297872
運動體育類,關注體育：跑步者,北投區永明里,0.0651567944251,374.0,121.515221277,25.1176297872
文化展覽類,關注文化藝術訊息者,北投區永明里,0.235606304278,1465.0,121.515221277,25.1176297872
運動體育類,關注體育：籃球者,北投區永明里,0.441942746864,2748.0,121.515221277,25.1176297872
運動體育類,關注體育：格鬥與摔角者,北投區永明里,0.0873271148279,543.0,121.515221277,25.1176297872
美食戶外旅遊類,關注旅遊資訊者,北投區永明里,0.218880669025,1361.0,121.515221277,25.1176297872
身體保健類,關注健康保健者,北投區永明里,0.432132518495,2687.0,121.515221277,25.1176297872
學習教育類,關注教育學習者,北投區永明里,0.494371180444,3074.0,121.515221277,25.1176297872
寵物生活類,關注貓寵物者,北投區永明里,0.098906400772,615.0,121.515221277,25.1176297872
影視娛樂類,關注韓國潮流哈韓者,北投區永明里,0.39594724992,2462.0,121.515221277,25.1176297872
美食戶外旅遊類,關注烹飪者,北投區永明里,0.396268896751,2464.0,121.515221277,25.1176297872
運動體育類,關注體育：賽車者,北投區永明里,0.0679156908665,348.0,121.515221277,25.1176297872
美食戶外旅遊類,關注速食者,北投區永明里,0.174171759408,1083.0,121.515221277,25.1176297872
身體保健類,關注口腔牙齒治療者,北投區永明里,0.408973946607,2543.0,121.515221277,25.1176297872
美食戶外旅遊類,關注戶外休閒者,北投區永明里,0.396751366999,2467.0,121.515221277,25.1176297872
運動體育類,關注體育：足球者,北投區永明里,0.39787713091,2474.0,121.515221277,25.1176297872
影視娛樂類,關注搖滾樂者,北投區永明里,0.11727954302,657.0,121.515221277,25.1176297872
影視娛樂類,關注日本電視節目者,北投區永明里,0.318430363461,1980.0,121.515221277,25.1176297872
運動體育類,關注體育：水上運動者,北投區永明里,0.116202090592,667.0,121.515221277,25.1176297872
美食戶外旅遊類,關注美式料理者,北投區永明里,0.192344805404,1196.0,121.515221277,25.1176297872
寵物生活類,關注狗寵物者,北投區永明里,0.379328811139,2125.0,121.515221277,25.1176297872
影視娛樂類,關注影視娛樂訊息者,北投區永明里,0.385493727887,2397.0,121.515221277,25.1176297872
運動體育類,關注體育：游泳者,北投區永明里,0.0431303669009,221.0,121.515221277,25.1176297872
身體保健類,關注口腔牙齒美容者,北投區永明里,0.0744612415568,463.0,121.515221277,25.1176297872
美食戶外旅遊類,關注台式料理者,北投區永明里,0.0841463414634,483.0,121.515221277,25.1176297872
